r0,r1,r2,E
1.3,0.97,0.6195010460014869,-150.7224769
1.3,0.97,1.8909409902466365,-150.7212414
1.3,0.97,1.7641202584686924,-150.7202691
1.4,0.97,0.69348848606476,-150.7170081
1.4,0.97,1.849090920274797,-150.7157924
1.3,0.97,2.001119598201941,-150.7147987
1.4,0.97,1.9794775845453811,-150.7143181
1.3,0.97,1.6220049321749919,-150.7109659
1.2,0.97,0.553747967661715,-150.7102435
1.4,0.97,1.703202865192517,-150.7101252
1.2,0.97,1.803603101980101,-150.709654
1.4,0.97,2.092878309673263,-150.7065087
1.2,0.97,1.6808043732798283,-150.7052238
1.2,0.97,1.9101883869176315,-150.7051628
1.5,0.97,0.7733505121300751,-150.7030001
1.3,0.97,2.085881076206796,-150.7022887
1.3,0.97,0.785328748780234,-150.701957
1.5,0.97,1.9354984310367562,-150.701444
1.5,0.97,1.7863090438107287,-150.6984119
1.5,0.97,2.0690590099947137,-150.6982756
1.3,0.97,0.48201189394414656,-150.6982256
1.4,0.97,1.5435876290503574,-150.6970791
1.4,0.97,0.5637645800707624,-150.6949804
1.4,0.97,0.8554565767539299,-150.6935343
1.4,0.97,2.180185209088839,-150.6934819
1.3,0.97,1.466178609058376,-150.693346
1.2,0.97,1.9921325714483702,-150.6933422
1.2,0.97,0.7222717858326617,-150.6914846
1.2,0.97,1.5430165261590687,-150.6908796
1.5,0.97,2.1853602888067973,-150.689568
1.5,0.97,1.6234672227840803,-150.6888593
1.2,0.97,0.40846105085415785,-150.686377
1.3,0.97,2.155239837312607,-150.6854303
1.6,0.97,0.8574472280667229,-150.684923
1.6,0.97,2.0231586990764705,-150.683664
1.6,0.97,1.8710692130437079,-150.6825163
1.5,0.97,0.6506347190099091,-150.6815604
1.6,0.97,2.1595552472587944,-150.6795568
1.4,0.97,1.3723951662266896,-150.6776842
1.4,0.97,2.25166472754903,-150.676699
1.5,0.97,2.274975874109849,-150.6762038
1.2,0.97,2.0591560085117635,-150.6761796
1.6,0.97,1.7054702807000788,-150.6757883
1.5,0.97,0.9310588948946128,-150.6748991
1.5,0.97,1.4494118852692275,-150.6732175
1.7,0.97,0.9446483383919977,-150.6708388
1.6,0.97,2.278477466354812,-150.6707796
1.7,0.97,2.111915733818905,-150.6704071
1.7,0.97,1.957268504830137,-150.6703341
1.3,0.97,1.298515372032642,-150.6694685
1.2,0.97,1.391652492098298,-150.6671109
1.7,0.97,2.2508559583157868,-150.6665256
1.3,0.97,2.2086236560362797,-150.6664874
1.7,0.97,1.7893048743152058,-150.6659296
1.6,0.97,0.7408242527211458,-150.6654362
1.8,0.97,2.0447249203743767,-150.6637965
1.6,0.97,1.5290916042006804,-150.663608
1.8,0.97,2.2016368937349533,-150.6634197
1.1,0.97,1.7176467827669217,-150.6630681
1.1,0.97,0.49949181913423074,-150.6626444
1.1,0.97,1.8202086970240714,-150.6613142
1.8,0.97,1.87472531005081,-150.6609648
1.9,0.97,2.133283853592859,-150.6603674
1.8,0.97,2.3428670948665364,-150.6602166
1.9,0.97,2.2922089688677914,-150.6598565
1.5,0.97,2.3483886676267245,-150.6593584
1.7,0.97,2.372155040776121,-150.6592716
1.9,0.97,1.9615244181610523,-150.6585531
2.0,0.97,2.222813532440362,-150.6584463
1.4,0.97,2.306701913922908,-150.6581728
1.6,0.97,2.37019469867646,-150.658144
2.0,0.97,2.3835349592697384,-150.6579444
1.9,0.97,2.435508140682566,-150.6573686
2.0,0.97,2.049527042500051,-150.6572902
1.7,0.97,0.8332560286362068,-150.6572539
2.1,0.97,2.3132012450281967,-150.6572531
1.7,0.97,1.6110392468572334,-150.6570888
2.1,0.97,2.4755314272220508,-150.6568153
1.3,0.97,0.3740989241084004,-150.6566424
2.1,0.97,2.1385846143737117,-150.656526
2.2,0.97,2.404350224073024,-150.6564253
1.2,0.97,2.1107257491939877,-150.6562092
2.0,0.97,2.5287098652185738,-150.656079
2.2,0.97,2.568126319375099,-150.656064
2.2,0.97,2.2285706647384793,-150.6559805
2.3,0.97,2.4961770770520264,-150.6557953
2.3,0.97,2.319377128159596,-150.6555386
2.3,0.97,2.661257172347337,-150.6555034
2.1,0.97,2.622412488830929,-150.6554474
3.2,0.97,2.283284343137078,-150.65531
3.15,0.97,2.23363599902064,-150.65529
3.25,0.97,2.3329477077527687,-150.65529
2.4,0.97,2.5886096654381867,-150.6552831
3.2,0.97,2.2900131167706173,-150.65528
3.15,0.97,2.2404065783490927,-150.65526
3.25,0.97,2.339636406293307,-150.65526
3.2,0.97,2.297115832264383,-150.65525
